Ительменское слово,Русское слово,Часть речи
zaznami,нарочно,нареч
narta,нарта,сущ
sxlэŋsxlэŋ сущ с.,нарта,
argis,нарта грузовая,сущ
ujэtik,нарта легковая,сущ
osxpɬ-,нарту закрепить,п1
ampaʔnom,нарты деталь,сущ
anpэn,нарты деталь,сущ
fiwis,нарты доска,сущ
sxləŋ,нарты полоз,сущ
tэpəlaχ,наружный,прил
sinisəm,балагана,сущ
kalfskэ,наружу,нареч
əzzankэ,наружу,нареч
χumst-,наружу выходить,неп
sk'alэmč,нарыв,сущ
ŋilkti-,нарывать,неп
sk'altэ-,нарывать,неп
kkəmŋэknэn,нарядный,прил
ɬinqӑmzaʔɲɬ-,наряжать,п1
kəmŋэ-,наряжаться,неп
muzaʔn,нас,мест
amsanэq,наскоро,нареч
loŋaʔɬ-,наскоро обследовать местность,неп
č'ziŋ-,наскоро раздобыть,неп
namzŋa-,наскоро сунуть,п1
ənč'iwiss-,насластить,п1
naslэdstwoʔ,наследство,сущ
katkat,наст,сущ
əlʔiɬ-,наставлять,п1
panzumač,настил в амбаре,сущ
milwun,настил из жердей под балаганом,сущ
optxnəm сущ с.,настил из жердей под балаганом,
ot'səm,настил из плах,сущ
ormajolŋən,шалаше для копчения кипрея,сущ
sinisəm,балагана,сущ
katɬ-,настить,неп
čirim,настойка мухомора,сущ
ʎwi,настоящий,нареч
anst'wol-,наступать,неп
ŋэju-,насыщаться,неп
ikənsfɬ-,натаскать много воды,неп
sxolnom,натертое обувью место,сущ
čŋi-,наткнуться на что-либо,п1
itsxuʔn-,натыкаться под нагами,неп
č'эxč'эɬ,наугад,нареч
čki-,находить,п2
čkiwala-,находить,п2
čkit-,находить,п2
ŋačas-,находиться в дыму,неп
čkэnom,находка,сущ
ijanlaχ,реки,прил
čkaɬxən,начало,сущ
ənzunom,начало,сущ
tnakol,начальник,сущ
ənzu-,начать,п1
čэrta-,начертить,п1
uzu-,начинать,неп
ənzu-,начинать,п1
ənzinilka-,"начинать, не доводя до конца",п1
uzu-,начинаться,неп
ənzu-,начинаться,неп
mizwin,наш,мест
wэjaq,не,част
zaq,не,част
qaʔm,не,част
xэʔɲč,не,част
χэj,не,част
amsanэq,не вовремя,нареч
utu-,не мочь,неп
utu-,не мочь,п1
isiŋzi-,не обращать внимание,п1
qisχčaχ,небо,сущ
шkoɬnik,небольшая нерпа,сущ
xičiŋuq,небрежно,нареч
ʷk'эlaχ,невалкий,прил
tэjwэŋlaχ,невеселый,прил
ɲэwэsta,невеста,сущ
sxkŋon,невестка,сущ
xiliŋ,невод,сущ
xiliwiŋtzo-,неводить,неп
xilwiŋt-,неводом ловить рыбу,неп
ɲэkak,невозможно,нареч
xalf,невысокий обрыв,сущ
ojmarolwaŋ,невысокий щелястый навес,сущ
itэmlaχ,негладкий,прил
qiwэlaχ,негодный,прил
ʎapxač'эraŋ,негодяй,сущ
ɬapxač'эraŋ,негодяй,сущ
atэɬ,недавно,нареч
kɬank,недавно,нареч
k'alэk,недалеко,нареч
nэdэʎaʔ,неделя,сущ
uʎuq,недостаточно,нареч
izulaχ,недоступный,прил
amэɬaŋ,незаметно,нареч
insliq,незаметно,нареч
isэŋq,незаметно,нареч
isэŋlaχ,незаметный,прил
pɬχʔin,незнакомый,прил
ʷqaqf,незрелая ягода,сущ
xksxiʔin,неимущий,прил
əlkis,неискусный,сущ
itэmlaχ,некаткий,прил
эčk'эlaχ,некрасивые,прил
kɬalэʔan,некто ходящий,сущ
qaʔm mankэ,некуда,мест
əlkis,неловкий,сущ
wэjaq,нельзя,част
zaq,нельзя,част
χэj,нельзя,част
qnaŋ,немедленно,нареч
qnэŋ нареч с.,немедленно,
pɬэwər,немного,нареч
uʎuq,немного,нареч
ənpэskozala-,немного,п1
t'aɬkosč,немного дальше,нареч
čfala-,немного дождить,неп
tχala-,немного идти,неп
čkiwala-,немного находить что-либо,п2
pkɬala-,немного подставить,п1
wэtatala-,немного поработать,неп
ənsč'эllala-,немного сдвигать,п1
sč'aʔŋala-,немного слегка покоситься,неп
nikumsalaʔɬ-,немного укорачивать,п1
ʷximaqəm,немножко,нареч
χaqaɲɬ-,ненавидеть,неп
χaqaɲɬ-,ненавидеть,неп
χэqэwjэp-,ненавидеть,п1
χэqэwjэp,ненависть,сущ
nada,необходимо,нареч
xorowal,неожиданно,нареч
əlk'silaχ,неопрятный,прил
эɬэwjuq,неповоротливый человек,сущ
qumislaχ,неподвижный,прил
iɬuq,непослушный,прил
iʔɬuq,непослушный,сущ
aʔlot,непослушный ребенок,сущ
ɬwaɬ,неправильно,нареч
xэɬwaɬ,неправильно,нареч
xэɬwaɬʔan,неправильный,прил
ɬwaɬʔan,непривычный,прил
χaqэlan,неприятель,сущ
əmč'aq(a),неприятно,межд
jox,боли,межд
utxq,непрочно,нареч
utxlaχ,непрочный,прил
rosx-,нерест,неп
rosxata-,нерест,неп
rosxnom,нерест,сущ
awnom,нерестелище,сущ
rosxkom,нерестилище,сущ
ksus,нерка,сущ
ɲэrpa,нерпа,сущ
ɲэrpusk'эčχ,нерпа,сущ
fitsk'aj,нерпа,сущ
fitsk'э,нерпа,сущ
шkoɬnik,нерпа,сущ
əmpquwəl,нерпа двухлетняя,сущ
kэlilan,нерпа пестрая,сущ
sawnom,нерпа трехлетняя,сущ
fitwit,нерпа-акиба,сущ
quwəl,нерпа-первогодок,сущ
xamɬx,нерпичий жир,сущ
ksolx,нерпичий пузырь,сущ
ʷksəlx,нерпичий пузырь,сущ
χamɬχэʔɬ-,пищу,п1
kuɬχ,нерпичья шкура,сущ
ɲэrpusk'эčχ,нерпушка,сущ
fittaj,нерпы детеныш,сущ
t'k'oxč,нерпы ласт,сущ
čukčuk,нерпы ласт,сущ
čiŋuq,неряха,сущ
qiwэ,неряшливо,нареч
qiwэlaχ,неряшливый,прил
čiŋuqэlaχ,неряшливый,прил
ɲэxiq'эwlaχ,несильный,прил
laʔlsxэʔɲč,несколько,нареч
iʔɬuq,неслух,сущ
pakokatэ-,нести яйца,неп
tэlp-,нестись сломя голову,неп
č'эtxla-,нестись сломя голову,неп
lэʔluŋlaχ,несчастный,прил
lэʔluŋlэʔluŋ,несчастье,сущ
sэɲɬ,с лиловыми цветочками,сущ
iшki,нет,част
qaʔm,нет,част
ɲэtu,нет,нареч
xэʔɲč,нет,част
kilxɬ,неужели,нареч
klэxwэns,неужели,нареч
qэlx,неужели,межд
qэɬsx,неужели,част
эɬэwjuq,неуклюжий человек,сущ
əlkis,неумелый,сущ
utxlaχ,неустойчивый,прил
kəʔmxaɬ,нечаянно,союз
čŋi-,нечаянно найти,п1
χэqэ,нечистый дух,сущ
ɬapxač'эraŋ,ни к чему не пригодный человек,сущ
qaʔm maʔ,нигде,мест
ijanlaχ,нижнее течение,прил
tnŭm-,нижний,А
tnŭmʔin,нижний,прил
pansnoŋ,нижняя завязка на обуви,сущ
kowэrwəŋ,нижняя часть голенища штанов,сущ
izuwэzəm,низина,сущ
izulaχ,низкий,прил
izuq,низко,нареч
ɲэkak,никак,нареч
qaʔm it'э,никогда,мест
qaʔm k'э,никто,мест
qaʔm mankэ,никуда,мест
nitkaʔ,нитка,сущ
sχэtɬ,нитка,сущ
qaʔm ӑŋqa,ничего,мест
pnэŋ,ничком,нареч
kkaŋɬʔan,нищий,инф
kəʔmxaɬ,но,союз
nowogodɲoj,новогодний,прил
ifalaχ,новый,прил
nowoj,новый,прил
qtχaŋ,нога,сущ
tχaŋ сущ с.,нога,
k'эk'wэčχ,ноготок,сущ
k'ufk'uf,ноготь,сущ
ənsxul-,ногу потереть,п1
faɬč,нож,сущ
inxp,нож для кипрея,сущ
faɬačχ,нож перочинный,сущ
kujnəŋ,ножа рукоятка,сущ
qэttačχ,"ножка, ноженька",сущ
nozniцaʔn,ножницы,сущ
fansx,ножны,сущ
faɲɬ,ножом,сущ
faɬačχ,ножчек,сущ
qŋasəŋ,ноздря,сущ
nul',"ноль ноль,",числ
nul',"ноль, нуль ноль,",числ
nomэr,номер,сущ
asэra,нора,сущ
qaqəŋ,нос,сущ
qэqэŋ,нос,сущ
k'onok'on,нос крючком у рыбы,сущ
tqŋač,"нос, корма бата",сущ
nəntxlaʔɬ-,носить,неп
szu-,носить,п2
sxzu-,носить,п2
tzili-,носить,п1
txɬ- п2 с.,носить,
timpɬ-,носить,п1
timpɬэt-,носить,п1
əntxla-,носить,п2
əntxlat-,носить,п2
paŋjaʔn,носки,сущ
k'aɲč,носок у меховых чулок,сущ
ɬxi-,ночевать,неп
ɬxit-,ночевать,неп
ɬxanost-,ночевать вне дома,неп
ɬxisxin-,ночевать постоянно,неп
č'эxč,ночная совка,сущ
kənk sed.,ночь,сущ
kɬfiŋlэ,ночью,нареч
noябr,ноябрь,сущ
luʔmi-,нравиться,п1
эlfsэnŏm,нравственный долг,сущ
inki,ну,межд
qlэ,ну,межд
nu,ну,межд
xatta,ну,межд
xэtus,ну,межд
klэxwэns,ну да,нареч
imst,ну и!,межд
ksxi-,нуждаться,неп
nada,нужно,нареч
nuжnoj,нужный,прил
xaɬč,ну-ка,нареч
nэʔn,нынче,нареч
čkɬ-,нырять,неп
istwэ-,ныть,неп
č'winiʔɬ-,ныть,неп
proska,нюхательный табак,сущ
nisk'i-,нюхать,неп
nisk'i-,нюхать,п2
nisk'iʔɬ-,нюхать,неп
nisk'эʔɬ-,нюхать,неп
kust-,няньчить,п1
ɲaɲaʔɬ-,няньчить,п1
kmэŋэt-,няньчить детей,неп
kust-,няньчить детей,неп
ɲaɲa,няня,сущ
kmaŋan,оба,мест
zəmč'sxэnəc,оббить посуду от эмали,инф
t'lэnom,обвал,сущ
t'lэ-,обваливаться,неп
t'lэŋэ-,обваливаться,неп
t'lэtэ-,обваливаться,неп
t'lэnom,обвалившееся место,сущ
ənsɬ-,обваривать,п1
ənsɬэt-,обваривать,п1
is-,обварить,п1
is-,обвариться,неп
utxsi-,обветшать,неп
iɬ-,обвинять анзан,п1
anzaʔɬ-,обвинять анзан,неп
anzaʔɬst-,обвинять постоянно,неп
omtat-,раз,п1
pэskoz-,обгонять,п1
ənpэskoz-,обгонять,п1
ača-,обдать водой,п1
əlfɬ-,обдирать шкуру,п1
čxl-,обдувать,п1
oбэdaʔɬ-,обедать,неп
wat-,обессиливать,неп
azlaχ aɲɬos,обет,сущ
aɲɬos,обещание,сущ
aɲɬot-,обещать,п1
aɲɬoʔɬ-,обещать,неп
aɲɬot-,обещать многократно,п1
aɲɬo-,обещать что-либо,п1
ənk'wa-,обжигать,п1
ənq'wala-,обжигать что-то,п1
ksxlət'in,обжора,сущ
nanqalan,обжора,сущ
pilwэtilʔan,обжора,сущ
piɬfu,обжора,сущ
ɬiɲɬэruŋ-,обзывать,п1
əllat-,обзывать,п1
ŋitɬ-,обижать,п1
χэqэwjэp-,обижать,п1
ənqaʔm-,обижать,п1
qaʔm-,обижаться,неп
amэlwэlwэn,обилие,сущ
iwniɬ,обильно,нареч
nэksama,обильно,нареч
əmkэm,обильно,нареч
jat-,облаками заволакиваться,неп
ŋizzalti-,облаками покрываться,неп
jajaŋ,облако,сущ
ŋizzal,облако,сущ
эfufэ,облегчения возглас,межд
nəmsxuʔɬ-,облегчить,п1
qtwal-,обледенеть,неп
kaɬčfsatэ-,"обледенеть, покрыться льдом",неп
im-,облезать,неп
imχč'əs-,облезать коже,неп
linsit-,обливать,п1
lins-,обливаться,неп
lэnszo-,многократно,неп
sэŋɬzo-,обливаться слезами,неп
taʔmza-,облизывать,п1
taʔmzat-,облизывать,п1
tom-,облизывать,п1
tomэt-,облизывать,п1
č'mil-,облизывать,п1
ača-,облить,п1
oбloжka,обложка,сущ
aɬa-,облокачиваться,неп
zəl-,облокачиваться,неп
aɬat-,облокачиваться многократно,неп
aɲɬэnmajaŋaʔɬ-,обманом заниматься,неп
intimni- неп с.,обманывать,
intimni- п1 с.,обманывать,
intənmuwэʔɬ-,обманывать,неп
ɬinmajaŋ-,обманывать,п1
maja-,обманывать,неп
tэmjuŋɬxэt-,обманывать,неп
ɬinmajaŋэt-,многократно,п1
intənmэʔɬ-,обманываться,неп
tpla-,обмереть,неп
čiъnn’эk'l,обметочный шов,сущ
tplasxэn-,обморок,неп
ənməlwэŋ-,обнадеживать,п1
afčaχ,Красной,собств
tэpəlaχ,зрительно,прил
ənlat'-,обнаруживать,п1
tэpəl lэ-,обнаруживаться,неп
tawol-,обнимать,п2
tawolat-,обнимать,п2
əmptqэsxэn-,сильно,п1
ansawaʔɬ-,обниматься,неп
tawolaʔɬ-,обниматься,неп
inkil-,обносить,п1
nisk'i-,обнюхивать,п2
ənsk'i-,обнюхивать,п1
ənsk'i-,обнюхивать,п2
ənsk'izo-,обнюхивать,п1
ənsk'izo-,обнюхивать,п2
ʷkmэwič,обод,сущ
inmэŋ,ободок,сущ
k'wasχq,обожженная корка,сущ
uwik,обозначает возвратное действие,сущ
sxozŋa-,оборачиваться,неп
sxozŋazo-,оборачиваться,неп
sxozŋat-,оборачиваться,неп
alxp,пищу стебель кипрея,сущ
wənkiwi-,обрадоваться,неп
riwat-,обрадоваться,неп
эtɬxtэ-,волосами,неп
luʔwilti-,обрасти бородой,неп
ilwiziɬ,обратно,нареч
uwik,обратное действие,сущ
čalxta-,обращать внимание,п1
əmpχata-,обрезать,п1
əmpχala-,обрезать слегка,п1
ʷkmэwič,обруч,сущ
xalf,обрыв,сущ
эʔlэ,обрыв,сущ
pxэ-,обрываться,неп
ipstu-,обрызгивать,п1
ipstut-,обрызгивать,п1
kafkɬ-,обсидеть,неп
ɬk'l-,обтесывать,п1
ɬk'lэt-,обтесывать,п1
ənkuma-,обувать,п1
kumэ-,обуваться,неп
aɬэʔn,обуви вид,сущ
komaknэn,обувь,сущ
sfunsχqэʔn,обувь,сущ
pэkэʔɲč,обувь детская,сущ
sfunk'uzwэʔn,обувь домашняя,сущ
atɬэmk'at-,обувь латать,п1
ikəmplikэʔn,обувь летняя промысловая,сущ
alačikaʔn,обувь праздничная;,сущ
fisfэʔn,осенняя,сущ
ənquɲŋala-,обузить,п1
č'эt-,обходить,п1
ksota-,обходить стороной,неп
nik'ilэʔnəŋ,обшивка,сущ
akэwaʔnəm сущ с.,обшивка у обуви,
akэwəm,обшивка у обуви,сущ
nik'ilэʔnəŋ,одежды,сущ
χopt,обширный,прил
oбщestwo,общество,сущ
ənqoɲэŋэwэ-,объединять,п1
qunэŋэ-,объединяться,неп
pklэl,объем помещаемый в обе горсти,сущ
ampэla-,объявлять,п1
ampэlač,объяление,сущ
əlʔiɬ-,объяснить,п1
ŋonkэ,обыкновенно,нареч
ŋonkэnlaχ,обыкновенный,прил
ɬokra,овод,сущ
ənparэw-,оглушить,п1
laxɬэt-,оглядываться,неп
ɬčkpэt-,оглядываться,неп
wəmɬx сущ с.,огонь,
ximɬx,огонь,сущ
эʔŋlэt-,огонь высекать,неп
tlut-,огонь раздувать,п1
ogorod,огород,сущ
qaʔmst-,огорчаться,неп
χopt,огромный,прил
эsqčkin,огромный,прил
ogurэц,огурец,сущ
ənkuma-,одевать,п1
kumэ-,одеваться,неп
qziɬэt-,одеваться,неп
kəmŋэ-,одеваться по-праздничному,неп
warnaʔn,одежда,сущ
odэzdaʔn,одежда,сущ
txɬknэn,одежда,
ŋawkэr,одежда женская,сущ
itɬqr-,одежду пороть,п1
oʔtэ-,одеревенеть,неп
saχsaχ,одеяло,сущ
эnsčinэŋ,одеяло,сущ
эnsča-,одеялом накрывать,п1
эnsčэ-,одеялом укрываться,неп
эnsčэt-,одеялом укрываться,неп
ʷqɲiŋ,один,числ
ɲaačiɬ,один,нареч
ɬoʔnaŋsэz,запора,сущ
nэwlaz,запора,сущ
odinakowoj,одинаковый,прил
эʎwəmək,одинарная кухлянка,сущ
ʷqniŋačχ,один-одинёшенек,прил
neimtu З.,гора,сущ
ŋэjэm,одичавшее животное,сущ
qtxэwzəŋ,одна половина штанов,сущ
paskэzalŋən сущ с.,одна половина штанов,
kuniɬwin,однажды,нареч
kunэɬэŋ нареч с.,однажды,
qun,однажды,нареч
kəʔmxaɬ,однако,союз
č'ŋzɨpэʔlэnəŋ,конца ловушки запора,сущ
qnaŋza,одновременно,нареч
aɲts,одр,сущ
izli-,оживать,неп
ənt'izliʔɬ-,оживлять,п1
ənk'wa-,ожигать,п1
k'wak'wum,ожог,сущ
natxsaw-,озарять,п1
ʷkəɬf,озеро,сущ
Кʎučэkэn,озеро севернее о. Мээнто,собств
laxɬэt-,озираться,неп
ɬčkust-,озираться,п1
ɬapxač'э-,озорничать,неп
ɬiwэklin-,озорничать,неп
iŋiŋi,ой,межд
učučux,ой,межд
mэxnu,оказывается,нареч
inənk'zuʔɬ-,оказывать помощь,неп
nək'zuʔɬ-,оказывать помощь,неп
watэ-,окаменеть,неп
loŋaʔɬ-,окинуть ее взглядом,неп
ənkэl-,окликать,п1
aʔnwsэs,окно,сущ
oknom,окно,сущ
oknuč,окно,сущ
q'lэ-,околачиваться без дела,неп
aŋqan ənt-,околдовать,п1
zэstaʔɬa-,околдовывать,п1
kztaɬ-,околдовывать,п1
olla,около,предл
tk'ŋoč,оконечность бата,сущ
oknoʔan,оконный,прил
piɲɬf- ilalɬэl-,окончить,п1
ilalɬэl-,окорять,п1
ənɬimza-,окровавить,п1
twil-,окружать,п2
txwəlэt-,окружать,неп
txwəlэtə-,окружать,п1
oktябr,октябрь,сущ
olenewod,оленевод,сущ
čaʔwat-,оленей ловить,неп
qэŋučχ,олененок,сущ
tэqэsχ,олененок,сущ
qэtχ,олений жир,сущ
xatpal,олений мох,сущ
qos,олень,сущ
ɬxэjwak,олень,сущ
χiwŋэlan,"олень дикий, самец",сущ
irwutam,оленьей кости осколок,сущ
ʷkič'э,олень-самец,сущ
sitɬ,оленья жила,сущ
sizŋit'ɬ,оленья нога,сущ
sap,оленья шкура,сущ
iɬχpэtэ,оленя мясо,сущ
qorэɬmat-,оленя убить,неп
kskət,ольха,сущ
kskət,ольха горная,сущ
kskət,ольха тундровая,сущ
ilal,ольховая кора,сущ
kskizla-,ольхой красить,п1
kskəzzal,ольшаник,сущ
ənna,он,мест
fiɲɲatɬ,он сам,мест
ʷfnэwa,он сам,мест
wnэ,"он сам, она сама",мест
ənna,она,мест
tɬwinэtɬ,она в одиночку,мест
fiɲɲatɬ,она сама,мест
ʷfnэwa,она сама,мест
itχ,они,мест
ʷtɬwin,они сами,мест
ənna,оно,мест
čkɬ-,онуть,неп
pэqsэ-,опадать,неп
pэsčkɬ-,опадать,неп
tsӑl-,опадать,неп
opozdaʔɬ-,опаздывать,неп
kɬxmas,опана,сущ
qsχarэs,опана,сущ
aɬa-,опираться,неп
zəl-,опираться,неп
aɬat-,опираться многократно,неп
эnɬэntɬxoŋ-,оплевывать,п1
əntni-,опоражнивать,п1
čэpə-,опору подставлять,п1
χэqэ iɬ-,опровергать,п1
ənpiŋэʔɬ-,опрокидывать,п1
ənpiŋэʔɬэt-,опрокидывать,п1
ənp'əlk'э-,опрокидывать,п1
ənsč'aʔŋa-,опрокидывать,п1
sč'aʔŋa-,опрокинуться,неп
ənɬ-,опухать,неп
nuɬэnt,опухоль,сущ
ənɬэnom,опухоль,сущ
utэjnэŋ,опушка,сущ
irʔirič,опушка капюшона кухлянки,сущ
irʔirič,опушка мужского капора,сущ
muxta сущ с.,опушка мужского капора,
tэwut,опять,нареч
tэnaq,опять,нареч
orden,орден,сущ
slэč,орел,сущ
kuɲɬэl,орех кедровый,сущ
kaɬimto-,орехи грызть,неп
kunэʔɬ-,орехи грызть,неп
koɲɬэɬtwaʔɬ-,орехи шелушить,неп
kuɲɬэl,орешек кедровый,сущ
pojtəl,оружие,сущ
los,оружие типа лука с прикладом,сущ
t'was,оса,сущ
osəl,осел,сущ
pnawŏm,оселок,сущ
ktxlэʔin,осенний,прил
ktxast-,осеновать,неп
ktxlэnɬ-,осеновать,неп
ktxast-,осень проводить,неп
ktxlэ,осенью,нареч
atxkəzəm,осина,сущ
lэŋa uʔ,осина,сущ
χэqэwjэp-,оскорблять,п1
qaʔm-,оскорбляться,неп
ɬčkust-,осматривать,п1
č'эt-,осматривать,п1
əɬčkustэ-,осматривать,п1
ɬčkust-,осматриваться,п1
ɬiŋwэju iɬ-,осмеивать,п1
iɬ-,хиԓивайу,п1
tnakol,основание дерева,сущ
q'эq'um,осока,сущ
sxəm,корзин,сущ
kzэɬ-,оставаться,неп
fti-,оставаться,неп
ənftэʔɬ-,оставить,п1
inoms-,оставлять,неп
umz-,оставлять,п1
ənkzэɬ-,оставлять,п1
anxča-,оставлять (кому-л. что-л. из еды),п1
ənfti-,оставлять в покое,п1
эnftэs,оставлять в покое,инф п1
ɬkzi-,оставлять следы,неп
inŋukэlaχэʔn,остальной,прил
ənt'unmiʔɬ-,останавливать,п1
olmэ-,останавливаться,неп
onmalat-,останавливаться,неп
umni- неп с.,останавливаться,
unmi-,останавливаться,неп
unmist-,останавливаться,неп
unmit-,останавливаться,неп
onmala-,останавливаться ненадолго,неп
onmэnom,остановка,сущ
onmэstnom,остановка,сущ
aʔnxčas,остаток еды,сущ
osxtlэniŋ,остол,сущ
ostxlэləŋ,управления нартой,сущ
xaʔrat-,остолом тормозить,неп
tэlwэčq,осторожно,нареч
ʷɬэmč,остров,сущ
marэk,острога,сущ
wostroj,острый,прил
ik'sxulaχ,острый,прил
nirwuqэn прил с.,острый,
nuɬэnt,отек,сущ
isx,отец,сущ
otkazaʔɬ-,отказываться,неп
aɬtsxэn-,откликаться,неп
irwutam сущ qazalaʔɬ-,откликаться,неп
txɬ-,острым тыкать,п1
ənksiɬ-,остужать,п1
ksэnэ-,остывать,неп
lasχtэl-,осуждать,п1
xэk'omla-,осуждать,п1
xэk'əmla-,осуждать,п1
t'lэnom,осыпь,сущ
wэn-,от края отходить,неп
iʔnuxt-,отбирать,неп
iʔnuxt-,отбирать,п1
эnawna- п1 с.,отбирать,
zəmčɬ-,отбиться,п1
χэqэ iɬ-,отвергать,п1
эqэl-,отвергать,п1
č'эnom,отверстие,сущ
truбusin,отверстие в стене или потолке,сущ
aʔnwsэs,отверстие для света,сущ
truбusin,отверстие для чада,сущ
ənt'ilwiziɬala-,отвести,п1
ɬo-,отвечать,п1
aɲčpat-,отвечать на вопросы,неп
ənč'эlazo-,отвлекать,п1
ənt'ilwiziɬ-,отводить,п1
эqэl-,отводить,п1
uzэnx-,отгадывать,неп
əllatsxэn-,отгадывать,п1
zil-,отдавать,п1
kʎčlatэ-,отдавать кислым,неп
ozala-,отдаваться,неп
ənmэč'as-,отдалять,п1
ɬman,отдельно,нареч
ʷstopk'ul,вого стланика,сущ
ɬmat-,отделяться,неп
qэnʔэsəm,отдых,сущ
qэnʔisi-,отдыхать,неп
qэnʔisit-,отдыхать,неп
uraturi- неп с.,отдыхать,
qэnʔisit-,отдыхать как следует,неп
aɬt-,откликаться на зов,неп
aɬtsxэn-,откликаться на зов многократно,неп
panэnajp-,откровенно разговаривать,неп
fačza-,открывать,неп
ənqэ-,открывать,п1
ənɬi-,открывать,п1
ŋaʔno-,открывать глаза со сна,неп
iqi-,открываться,неп
kənqэʔin,открытый,прил
manxʔal,откуда,нареч
ansχɬ-,откусывать,неп
эʔrum,отлив,сущ
ɬwaɬtэ-,отличаться,неп
otličnik,отличник,сущ
бrawo,отлично,нареч
otlično,отлично,нареч
ɬwaɬʔan,отличный,прил
nэpajsa-,отлупить,п1
otmetka,отметка,сущ
ililэt-,отмечать путь вешками,п1
nэt'ɬэnom,отмщение,сущ
ənt'ilwiziɬala-,отнести,п1
iʔnuxt-,отнимать,неп
iʔnuxt-,отнимать,п1
tэʔɬ-,относить,п1
tэʔɬэt-,относить,п1
ənt'ilwiziɬ-,относить,п1
nomsa-,отогревать,п1
it'ɬqrэ-,отпарывать,п1
ɬinzaɬt-,отправлять,п1
ɬintэwuŋ-,отправлять,п1
ənsxэzi-,отправлять,п1
sxэzi-,отправляться в путь,неп
spŋэl-,отпрашивать(ся),неп
ənksi-,отпускать,п1
ənqsi-,отпускать,п1
ənqsit-,отпускать,п1
fэt'ɬχэt'ɬ,отражение,сущ
əmpχata-,отрезать,п1
əmpχэ-,отрезать,п1
əɬtq-,отрезать кончик уха,п1
xiʔŋiŋlaχ,отремонтированный,прил
qaʔm,отрицание,част
pxэ-,отрываться,неп
pxэtit-,отрываться,неп
otrɨwok,отрывок,сущ
эsəʔŋɬэm,отрыжка,сущ
ipɬχnowal,отряд,сущ
kzэɬ-,отставать,неп
əntpɬэt-,отстегивать,п1
ilэwэ-,отсыревать,неп
wotxal нареч с.,отсюда,
txʔal,отсюда,нареч
ənt'ilwiziɬala-,оттащить,п1
uttuwalŋən,оттуга,сущ
χoxʔal,оттуда,нареч
asato-,отхаркивать мокроту,неп
asato-,отхаркиваться,неп
ɬinɬxэ-,отхаркиваться,неп
iɬ-,отцом признавать исхэки,п1
эsxэɬzo-,отцом признавать исхэки,неп
wэn-,круг во время танца,неп
isxэʔsx,отчим,сущ
sč'эlala-,отъезжать недалеко,неп
kassa-,отяжелеть,неп
iŋiŋi,ох,межд
ɬiɲɬэruŋ-,охаивать,п1
inzэsχ,охапка,сущ
atal-,охать,неп
atalkas,охать,инф неп
ɬəm-,охота,неп
nis-,охотиться,неп
nэs-,охотиться,неп
oxot'эɬ-,охотиться,неп
sinatala-,охотиться,неп
mэt'sk'эntэ-,охотиться на медведя,неп
ijanɬk-,охотиться на морского зверя,неп
nisilan,охотник,сущ
ɬmэnom,охотничье угодье,сущ
ɬmas,охотничья добыча,сущ
бajdar,охотничья лодка,сущ
xčoɬ-,охранять,п1
txwəlэtə-,оцеплять,п1
ojэlatnom,очаг,сущ
ʎwi,очень,нареч
ʎi нареч с.,очень,
kɬəŋqsxi,очень больно,нареч
kɬč'эwэzэ,очень вкусно,нареч
kɬŋačэza,очень дымно,нареч
kɬčispэŋin,очень страшно,нареч
naɬ-,очищать шкуру,п1
čэstэʔɬnom,очищение,сущ
očkaʔn,очки,сущ
kztaɬ-,ошаманивать,п1
čamla-,ошаманивать,п1
kwəlwŭm,ошейник,сущ
intinniw-,ошибаться,неп
intənmэʔɬ-,ошибаться,неп
tsxil-,ошибаться,неп
tsxэʔlэs,ошибка,сущ
is-,ошпарить,п1
is-,ошпариться,неп
ənmit-,ощипывать,п1
ənmi-,ощипывать перья,п1
tillat-,ощупывать,неп
tillat-,ощупывать,п1
iʔlakэt-,ощущать тошноту,неп
ič-,падать,неп
kzi-,падать,неп
tsӑl-,падать,неп
tslat-,падать,неп
tplasxэn-,падать в обморок,неп
toalnom,падение,сущ
kəɲč,падушка,сущ
č'afkram,падшая женщина,сущ
paŋza-,пазуха,п2
paŋzaŋ,пазуха,сущ
paŋzat-,пазуха,п2
paŋzaŋ,подпоясанной кухлянкой,сущ
koɬton,пакет,сущ
aɲčxčaŋ-,пакостить,неп
Кɬxit,Палана,собств
polok,палатка,сущ
lufɬič,палец,сущ
asolŋəŋ сущ с.,палец большой,
timkč,палец большой,сущ
aɲɬoʔɬknэn,палец указательный,сущ
kэŋč,палка,сущ
usk'əlŋin,палка,сущ
uʔ,палка,сущ
əmzatinəŋ,палка,сущ
χэzum,палка для привязывания собак,сущ
əmzatinəŋ,"палка, чтобы рыбу погонять",сущ
umuɬk'эʔn,палочки,сущ
paɬtoʔ,пальто,сущ
lэwэčχ,пальчик у маленького ребенка,сущ
pamяtnik,памятник,сущ
txэɬnom,память,сущ
papa,папа,сущ
ʷt'it'im,пар,сущ
lupsisχ,сердцевины кипрея,сущ
χaqa,парадная комната,сущ
ʎapxač'эraŋ,паразит,сущ
katxzэʔn,паразиты,сущ
χoʎa,парень,сущ
pojэ-,париться (еда),неп
partaʔ,парта,сущ
partizan,партизан,сущ
partizanskoj,партизанский,прил
parus,парус,сущ
asxəm,пастбище,сущ
